"No.","Time","Source","Destination","Protocol","Length","Info"
"152","0.522410","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.144.1? Tell 10.25.151.1"
"153","0.522410","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.122? Tell 10.25.151.1"
"154","0.522410","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.140.182? Tell 10.25.151.1"
"155","0.523099","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.139.149? Tell 10.25.151.1"
"156","0.533756","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.95? Tell 10.25.151.1"
"157","0.533756","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.137.18? Tell 10.25.151.1"
"158","0.533756","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.147.1? Tell 10.25.151.1"
"159","0.533756","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.245? Tell 10.25.151.1"
"160","0.533756","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.151.171? Tell 10.25.151.1"
"161","0.533756","JuniperNetwo_3a:3c:30","Broadcast","ARP","60","Who has 10.25.149.1? Tell 10.25.151.1"
"162","0.533756","fe80::6026:1fff:fe43:cc13","ff02::fb","MDNS","102","Standard query 0x8468 PTR _quickshare._tcp.local, ""QM"" question"
"163","0.533756","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x5592 PTR _quickshare._tcp.local, ""QM"" question"
"164","0.533756","10.25.132.66","224.0.0.251","MDNS","477","Standard query response 0x0000 PTR appleâ\200\231s MacBook Air (2)._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 50252 apples-MacBook-Air.local AAAA, cache flush fe80::25:7add:752e:9ac9 A, cache flush 10.25.132.66 NSEC, cache flush appleâ\200\231s MacBook Air (2)._companion-link._tcp.local NSEC, cache flush apples-MacBook-Air.local"
"165","0.533756","fe80::25:7add:752e:9ac9","ff02::fb","MDNS","497","Standard query response 0x0000 PTR appleâ\200\231s MacBook Air (2)._companion-link._tcp.local TXT TXT, cache flush SRV, cache flush 0 0 50252 apples-MacBook-Air.local AAAA, cache flush fe80::25:7add:752e:9ac9 A, cache flush 10.25.132.66 NSEC, cache flush appleâ\200\231s MacBook Air (2)._companion-link._tcp.local NSEC, cache flush apples-MacBook-Air.local"
"166","0.533756","10.25.137.43","224.0.0.251","MDNS","82","Standard query 0x7c3e PTR _quickshare._tcp.local, ""QM"" question"
